aws
aws,ec2,get-console-screenshot
aws,ec2,get-password-data
aws,ec2,import-image
aws,ec2,import-key-pair
aws,ec2,import-snapshot
aws,ec2,modify-hosts
aws,ec2,modify-id-format
aws,ec2,modify-image-attribute
aws,ec2,modify-instance-attribute
aws,ec2,modify-instance-placement
aws,ec2,modify-network-interface-attribute
aws,ec2,modify-reserved-instances
aws,ec2,modify-snapshot-attribute
aws,ec2,modify-spot-fleet-request
aws,ec2,modify-subnet-attribute
aws,ec2,modify-volume-attribute
aws,ec2,modify-vpc-attribute
aws,ec2,modify-vpc-endpoint
aws,ec2,modify-vpc-peering-connection-options
aws,ec2,monitor-instances
aws,ec2,move-address-to-vpc
aws,ec2,purchase-reserved-instances-offering
aws,ec2,purchase-scheduled-instances
aws,ec2,reboot-instances
aws,ec2,register-image
aws,ec2,reject-vpc-peering-connection
aws,ec2,release-address
aws,ec2,release-hosts
aws,ec2,replace-network-acl-association
aws,ec2,replace-network-acl-entry
aws,ec2,replace-route
aws,ec2,replace-route-table-association
aws,ec2,report-instance-status
aws,ec2,request-spot-fleet
aws,ec2,request-spot-instances
aws,ec2,reset-image-attribute
aws,ec2,reset-instance-attribute
aws,ec2,reset-network-interface-attribute
aws,ec2,reset-snapshot-attribute
aws,ec2,restore-address-to-classic
aws,ec2,revoke-security-group-egress
aws,ec2,revoke-security-group-ingress
aws,ec2,run-instances
aws,ec2,run-scheduled-instances
aws,ec2,start-instances
aws,ec2,stop-instances
aws,ec2,terminate-instances
aws,ec2,unassign-private-ip-addresses
aws,ec2,unmonitor-instances
aws,ec2,wait
aws,ec2,wait,bundle-task-complete
aws,ec2,wait,console-output-available
aws,ec2,wait,conversion-task-cancelled
aws,ec2,wait,conversion-task-completed
aws,ec2,wait,conversion-task-deleted
aws,ec2,wait,customer-gateway-available
aws,ec2,wait,export-task-cancelled
aws,ec2,wait,export-task-completed
aws,ec2,wait,image-available
aws,ec2,wait,image-exists
aws,ec2,wait,instance-exists
aws,ec2,wait,instance-running
aws,ec2,wait,instance-status-ok
aws,ec2,wait,instance-stopped
aws,ec2,wait,instance-terminated
aws,ec2,wait,key-pair-exists
aws,ec2,wait,nat-gateway-available
aws,ec2,wait,network-interface-available
